[+] copy_from_user symbols: 224
[+] sweep done: 275382 bl sites, funcs with subs: 17777
[+] copy_from_user call sites: 1271

===== 鏍″噯閿氱偣 =====
__arm64_sys_sched_setaffinity  depth=0x040 (鏈熸湜 0x40) __arm64_sys_sched_setaffinity(0x40)
__arm64_sys_select             depth=0x080 (鏈熸湜 0x1f0) __arm64_sys_select(0x80)

===== 鏍堢洰鏍囧€欓€? 670 涓?=====
func                                           frame  imm      size     depth(s)
linereq_ioctl                                  0x1a0  sp+0x20  0x10     
linereq_ioctl                                  0x1a0  sp+0x20  0x110    
linereq_ioctl                                  0x1a0  sp+0x20  0x10     
linehandle_ioctl                               0x120  sp+0x60  0x54     
linehandle_ioctl                               0x120  sp+0x20  0x40     
tty_ioctl                                      0xc0   sp+0x8   0x48     
tty_ioctl                                      0xc0   sp+0x8   0x8      
tty_compat_ioctl                               0xf0   sp+0x0   0x3c     
tty_mode_ioctl                                 0xc0   sp+0x8   0x24     
uart_ioctl                                     0x80   sp+0x0   0x28     
uart_ioctl                                     0x80   sp+0x0   0x20     
iommu_uapi_cache_invalidate                    0x80   sp+0x0   0x10     
drm_mode_atomic_ioctl                          0xe0   sp+0x28  UNKNOWN  
compat_drm_getunique                           0x40   sp+0x10  0x8      
compat_drm_wait_vblank                         0x60   sp+0x18  0x10     
connector_write                                0x50   sp+0x8   UNKNOWN  
regmap_cache_bypass_write_file                 0x50   sp+0x4   UNKNOWN  
regmap_cache_only_write_file                   0x60   sp+0x4   UNKNOWN  
lo_ioctl                                       0x240  sp+0x8   0x130    
lo_ioctl                                       0x240  sp+0x8   0xe8     
loop_info64_from_compat                        0xc0   sp+0x8   0x8c     
uid_procstat_write                             0xe0   sp+0x8   UNKNOWN  
uid_remove_write.42744                         0xe0   sp+0x8   UNKNOWN  
dma_buf_ioctl                                  0x50   sp+0x10  arg2     
dma_heap_ioctl                                 0xe0   sp+0x8   UNKNOWN  
sync_file_ioctl                                0x100  sp+0x20  0x30     
__tun_chr_ioctl                                0xc0   sp+0x30  UNKNOWN  
__tun_chr_ioctl                                0xc0   sp+0x20  0x4      
__tun_chr_ioctl                                0xc0   sp+0x28  0x4      
__tun_chr_ioctl                                0xc0   sp+0x28  0x4      
__tun_chr_ioctl                                0xc0   sp+0x24  0x4      
__tun_chr_ioctl                                0xc0   sp+0x1c  0x4      
__tun_chr_ioctl                                0xc0   sp+0x18  0x4      
__tun_chr_ioctl                                0xc0   sp+0x2c  0x4      
ppp_ioctl                                      0x80   sp+0x8   0x10     
ppp_ioctl                                      0x80   sp+0x18  0x8      
ppp_compat_ioctl                               0x60   sp+0x18  0xc      
ppp_set_compress                               0x70   sp+0x8   UNKNOWN  
uio_write                                      0x40   sp+0x4   arg2     
usbdev_ioctl                                   0x1e0  sp+0x38  0x8      
usbdev_ioctl                                   0x1e0  sp+0x38  0x2c     
usbdev_ioctl                                   0x1e0  sp+0x68  0x18     
usbdev_ioctl                                   0x1e0  sp+0x68  0x104    
usbdev_ioctl                                   0x1e0  sp+0x68  0x108    
usbdev_ioctl                                   0x1e0  sp+0x68  0x8      
usbdev_ioctl                                   0x1e0  sp+0x68  0x18     
usbdev_ioctl                                   0x1e0  sp+0x68  0x10     
usbdev_ioctl                                   0x1e0  sp+0x68  0x38     
usbdev_ioctl                                   0x1e0  sp+0x38  0xc      
usbdev_ioctl                                   0x1e0  sp+0x68  0x10     
usbdev_ioctl                                   0x1e0  sp+0x68  0x4      
proc_control_compat                            0x40   sp+0x0   0xc      
dwc3_link_state_write                          0x80   sp+0x8   UNKNOWN  
dwc3_testmode_write                            0x70   sp+0x8   UNKNOWN  
dwc3_mode_write                                0x60   sp+0x8   UNKNOWN  
dwc3_lsp_write                                 0x70   sp+0x8   UNKNOWN  
xhci_stream_id_write                           0x60   sp+0x0   UNKNOWN  
xhci_port_write                                0x70   sp+0x8   UNKNOWN  
input_event_from_user                          0x40   sp+0x8   0x10     
evdev_write                                    0x80   sp+0x0   0x18     
evdev_write                                    0x80   sp+0x18  0x10     
evdev_do_ioctl                                 0xf0   sp+0x4   0x4      
evdev_do_ioctl                                 0xf0   sp+0x38  0x10     
evdev_do_ioctl                                 0xf0   sp+0x38  0x10     
evdev_do_ioctl                                 0xf0   sp+0x8   0x30     
evdev_do_ioctl                                 0xf0   sp+0x8   0x2c     
evdev_do_ioctl                                 0xf0   sp+0x48  UNKNOWN  
evdev_handle_get_keycode                       0x50   sp+0x8   0x4      
